,title,company,sal_min_yearly,sal_max_yearly,city_name,state_name
227,data_engineer,first soft solutions [ direct],70000,154000,new york,ny
230,data_engineer,duckduckgo,144000,144000,remote,un
232,data_scientist,con,140000,188000,sunnyvale,ca
234,data_scientist,us national geospatial-intelligence agency,65597,134798,arnold,mo
235,data_engineer,sysvine technologies pvt ltd,65267,90000,new york,ny
236,data_analyst,excella,100000,135000,arlington,va
237,data_scientist,"stefanini, inc",117000,122000,greensboro,nc
239,data_analyst,kaplan,30000,30000,remote,un
240,data_engineer,worthwhile,70000,90000,remote,un
241,data_scientist,avantstay,80000,100000,remote,un
242,data_analyst,north carolina state university,70000,82000,raleigh,nc
243,data_scientist,presbyterian healthcare services,79000,120000,united states,un
245,data_scientist,competitive balance analytics,110000,140000,remote,un
247,data_scientist,modivcare,78692,132728,california,un
248,data_engineer,progressive,97900,126700,mayfield village,oh
251,data_scientist,consumers' checkbook/center for the study of services,96000,148000,washington,dc
254,data_engineer,"scuttlebutt services, llc",180000,200000,chantilly,va
255,data_analyst,imidex,70000,115000,denver,co
261,data_scientist,"amazon web services, inc.",119300,160000,remote,un
262,data_engineer,allstate,103000,103000,northbrook,il
268,data_scientist,verizon,80600,149800,denver,co
269,data_engineer,keurig dr pepper,52000,52000,burlington,ma
271,data_analyst,institute of neuro innovation,52000,100000,santa monica,ca
274,data_analyst,institute of neuro innovation,52000,100000,santa monica,ca
277,data_analyst,institute of neuro innovation,52000,100000,santa monica,ca
280,data_analyst,institute of neuro innovation,52000,100000,santa monica,ca
283,data_analyst,institute of neuro innovation,52000,100000,santa monica,ca
286,data_analyst,institute of neuro innovation,52000,100000,santa monica,ca
289,data_analyst,institute of neuro innovation,52000,100000,santa monica,ca
292,data_analyst,institute of neuro innovation,52000,100000,santa monica,ca
295,data_analyst,institute of neuro innovation,52000,100000,santa monica,ca
298,data_analyst,institute of neuro innovation,52000,100000,santa monica,ca
301,data_analyst,institute of neuro innovation,52000,100000,santa monica,ca
304,data_analyst,institute of neuro innovation,52000,100000,santa monica,ca
307,data_analyst,institute of neuro innovation,52000,100000,santa monica,ca
310,data_analyst,institute of neuro innovation,52000,100000,santa monica,ca
313,data_analyst,institute of neuro innovation,52000,100000,santa monica,ca
316,data_analyst,institute of neuro innovation,52000,100000,santa monica,ca
319,data_analyst,institute of neuro innovation,52000,100000,santa monica,ca
322,data_analyst,institute of neuro innovation,52000,100000,santa monica,ca
325,data_analyst,institute of neuro innovation,52000,100000,santa monica,ca
328,data_analyst,institute of neuro innovation,52000,100000,santa monica,ca
331,data_analyst,institute of neuro innovation,52000,100000,santa monica,ca
334,data_analyst,institute of neuro innovation,52000,100000,santa monica,ca
337,data_analyst,institute of neuro innovation,52000,100000,santa monica,ca
340,data_analyst,institute of neuro innovation,52000,100000,santa monica,ca
